year,1.5K_F,2K_F,2.5K_F,3.5K_F,4.5K_F,5.5K_F,6.5K_F
11-15,7690,9810,11620,15410,18380,20120,21600
16-20,7370,9690,11170,15190,18380,19950,21550
21-25,8510,10550,12620,16390,20120,22260,24050
26-30,9050,11300,12030,17040,20730,23740,19690
31-35,9170,11330,13030,17330,21030,23550,25080
36-40,9420,11800,14070,19700,21500,23820,25510
41-45,10050,12610,15070,19730,21250,25720,27580
46-50,11080,13760,16380,22380,27130,30190,32400
51-55,13790,16730,20160,26320,32920,36760,39370
56-60,17970,21880,25290,34000,42170,48060,51040
61-65,23990,28810,34930,46670,57150,65060,71340
66-70,33060,39360,45860,62780,77880,88060,96180
71-75,47540,56580,64620,86810,108830,123660,134860
76-80,68460,81480,93050,120510,156720,178070,194200
81-85,95840,114060,130270,175010,219400,249300,271880
86-90,106420,126470,143300,192510,241340,274230,299070
91-95,115960,138080,157630,211760,265470,301650,328980
96-98,127560,151820,173390,232940,292020,331820,361880
