year,1K_F,1.6K_F,2.2K_F,2.8K_F,3.4K_F,4K_F,5K_F
11-20,4030,5400,6160,6790,8160,9520,11960
21-35,4600,6200,7040,7700,9350,10960,13630
36-40,5660,7200,8140,9030,10880,12700,15650
41-45,5920,7880,8800,9800,11730,13740,16980
46-50,6620,8520,9570,10500,12750,14820,18420
51-55,8120,10800,12210,13580,16320,18860,23690
56-60,10540,14120,15730,17570,21250,25000,30740
61-65,13810,18520,20900,23240,27710,32700,40290
66-70,20330,27560,31020,34660,41990,48200,60460
71-75,31930,43160,48730,54670,65790,75940,95250
76-80,50560,68200,77110,86310,103870,120480,151110
81-85,70780,95480,107910,120820,145350,168680,211550
86-90,77860,105030,118710,132920,159990,185550,232710
91-95,85650,115330,130570,146220,175940,204110,255980
96-98,94220,127080,143640,160850,193470,224520,281580
