year,1K_M,1.6K_M,2.2K_M,2.8K_M,3.4K_M,4K_M,5K_M
11-20,4030,5400,6160,6790,8160,9520,11960
21-35,3560,4760,5390,6020,7310,8500,10590
36-40,4200,5640,6270,7000,8330,9940,12370
41-45,4550,6120,6830,7630,9180,10760,13400
46-50,4900,6600,7370,8190,9860,11500,14170
51-55,6240,8400,9460,10360,12410,14780,17710
56-60,8110,10960,12320,13510,16490,19400,23220
61-65,10710,14240,16170,17850,21590,25160,30980
66-70,15930,21200,24090,27090,32640,37760,46620
71-75,24870,33200,37730,42280,50830,59140,72330
76-80,39230,52440,59510,66210,80240,93480,115200
81-85,54920,73400,83270,93380,112370,130880,161280
86-90,60410,80740,91610,102750,123670,143970,177410
91-95,66450,88810,100760,112990,135990,158370,195150
96-98,73100,97690,110840,124310,149590,174210,214670
