year,MultiPay_1M_M,MultiPay_1M_F,MultiPay_2M_M,MultiPay_2M_F,MultiPay_3M_M,MultiPay_3M_F,MultiPay_4M_M,MultiPay_4M_F
15-5,6310,5130,12620,10260,18930,15390,25240,20520
6-10,4610,3830,9220,7660,13830,11490,18440,15320
11-15,4550,3490,9040,6980,13560,1170,18080,13920
16-20,5050,4180,10100,8360,15150,12540,20200,16720
21-25,5560,4730,11120,9460,16680,14190,22240,18920
26-30,6610,6230,13220,12460,19830,18690,26440,24920
31-35,8750,7350,17500,14700,26250,22050,35000,29400
36-40,16870,10040,33740,20080,50610,30120,67480,40160
41-45,27700,16310,55400,32620,83100,48930,110800,65240
46-50,49730,29160,99460,58320,149190,87480,198920,116640
51-55,83620,45370,167240,90740,250860,136110,334480,181480
56-60,130070,69550,260140,139100,390210,208650,520280,278200
61-65,163890,102320,327780,204640,491670,306960,655560,409280
66-70,235830,157170,471660,314340,707490,471510,943320,628680
71-75,326640,232320,653280,464640,979920,696960,1306560,929280
76-79,295760,211650,591520,423300,887280,634950,1183040,846600
80,381570,480750,763140,961500,1144710,1442250,1526280,1923000
86-90,621280,571340,1242560,1142720,1863840,1714080,2485120,2285440
91-95,909630,855280,1819260,1710560,2728890,2565840,3638520,3421120
96-98,1043290,1065970,2086580,2131940,3129870,3197910,4173160,4263880
